filename,x0,y0,x1,y1,labels,num_digits,x_increase,y_increase,image_width,image_height
test/1.png,36,-3,67,46,[5.0],1,3.5999999999999996,5.85,99,47
test/10.png,7,10,45,47,"[1.0, 6.0]",2,4.35,4.2,87,55
test/100.png,113,52,161,110,"[6.0, 1.0]",2,5.55,6.75,353,133
test/1000.png,197,48,256,96,"[2.0, 7.0]",2,6.8999999999999995,5.55,625,239
test/10000.png,24,2,76,39,"[1.0, 4.0, 3.0]",3,6.0,4.2,171,42
test/10001.png,11,0,35,21,"[1.0, 3.0, 1.0]",3,2.85,2.4,47,21
test/10002.png,69,14,100,47,"[6.0, 10.0]",2,3.5999999999999996,3.9,168,52
test/10003.png,21,-6,88,42,"[4.0, 4.0]",2,7.8,5.7,107,40
test/10004.png,30,2,61,32,"[1.0, 1.0, 10.0]",3,3.5999999999999996,3.4499999999999997,93,38
test/10005.png,22,-1,41,35,[1.0],1,2.1,4.2,64,35
test/10006.png,19,0,57,36,"[8.0, 10.0]",2,4.35,4.2,74,35
test/10007.png,18,0,67,30,"[2.0, 4.0]",2,5.7,3.5999999999999996,87,32
test/10008.png,23,-1,56,28,"[7.0, 7.0]",2,3.9,3.4499999999999997,77,28
test/10009.png,25,0,79,38,"[1.0, 7.0, 2.0]",3,6.1499999999999995,4.35,103,40
test/1001.png,57,21,99,54,"[1.0, 1.0, 9.0]",3,4.95,3.9,146,66
test/10010.png,147,72,209,130,"[7.0, 1.0, 7.0]",3,7.05,6.75,311,147
test/10011.png,320,69,418,157,"[1.0, 7.0, 2.0]",3,11.25,10.049999999999999,814,285
test/10012.png,51,13,81,43,"[8.0, 2.0]",2,3.4499999999999997,3.4499999999999997,127,59
test/10013.png,167,38,214,78,"[2.0, 2.0]",2,5.3999999999999995,4.6499999999999995,363,97
test/10014.png,28,-5,95,56,"[6.0, 7.0]",2,7.8,7.05,123,54
test/10015.png,29,7,76,55,"[1.0, 6.0]",2,5.3999999999999995,5.55,108,54
test/10016.png,36,3,67,36,"[6.0, 9.0]",2,3.5999999999999996,3.9,102,42
test/10017.png,80,21,113,71,"[6.0, 4.0]",2,3.9,5.85,177,68
test/10018.png,114,31,190,124,"[2.0, 10.0]",2,8.85,10.799999999999999,293,132
test/10019.png,53,6,102,60,"[6.0, 2.0]",2,5.7,6.1499999999999995,157,75
test/1002.png,89,8,156,57,"[2.0, 5.0, 7.0]",3,7.8,5.7,259,83
test/10020.png,21,-4,61,43,[9.0],1,4.6499999999999995,5.55,80,38
test/10021.png,20,-3,48,35,"[3.0, 5.0]",2,3.15,4.5,68,33
test/10022.png,113,31,151,68,"[8.0, 9.0]",2,4.35,4.2,230,73
test/10023.png,97,62,136,100,"[9.0, 10.0]",2,4.5,4.35,208,109
test/10024.png,19,1,38,21,"[1.0, 7.0]",2,2.1,2.25,58,24
test/10025.png,48,7,79,36,"[3.0, 2.0]",2,3.5999999999999996,3.3,128,53
test/10026.png,131,39,281,102,"[1.0, 8.0, 4.0, 10.0]",4,17.25,7.199999999999999,345,143
test/10027.png,26,10,46,39,"[4.0, 1.0]",2,2.25,3.3,73,39
test/10028.png,111,7,166,56,"[3.0, 9.0]",2,6.3,5.7,324,114
test/10029.png,38,6,68,46,[4.0],1,3.4499999999999997,4.6499999999999995,108,49
test/1003.png,251,77,293,132,[7.0],1,4.95,6.3,528,196
test/10030.png,56,38,87,68,"[5.0, 10.0]",2,3.5999999999999996,3.4499999999999997,148,77
test/10031.png,30,1,45,34,[1.0],1,1.7999999999999998,3.9,76,34
test/10032.png,95,28,132,77,"[2.0, 10.0]",2,4.2,5.7,187,77
test/10033.png,120,53,204,112,"[1.0, 7.0, 4.0]",3,9.75,6.8999999999999995,340,167
test/10034.png,57,6,98,55,"[9.0, 9.0]",2,4.8,5.7,161,61
test/10035.png,28,1,49,29,[8.0],1,2.4,3.15,79,33
test/10036.png,40,-5,113,70,"[8.0, 4.0]",2,8.4,8.85,158,75
test/10037.png,25,-2,58,34,"[1.0, 7.0]",2,3.9,4.2,84,34
test/10038.png,75,12,133,76,"[6.0, 4.0]",2,6.75,7.35,203,85
test/10039.png,16,-1,63,26,"[1.0, 3.0, 1.0]",3,5.3999999999999995,3.15,77,28
test/1004.png,23,-1,77,40,"[1.0, 2.0, 7.0]",3,6.1499999999999995,4.95,104,38
test/10040.png,51,11,105,53,"[1.0, 6.0]",2,6.1499999999999995,4.95,155,62
test/10041.png,89,60,136,108,"[1.0, 2.0]",2,5.3999999999999995,5.55,218,112
test/10042.png,54,-3,87,77,[5.0],1,3.9,9.299999999999999,139,75
test/10043.png,124,3,176,58,"[1.0, 1.0, 10.0]",3,6.0,6.3,329,87
test/10044.png,78,1,120,41,"[7.0, 5.0]",2,4.95,4.6499999999999995,144,41
test/10045.png,83,-15,254,173,"[1.0, 3.0, 6.0]",3,19.8,21.9,335,159
test/10046.png,18,-2,56,35,"[3.0, 3.0]",2,4.35,4.35,78,34
test/10047.png,39,8,86,36,"[2.0, 8.0, 1.0]",3,5.3999999999999995,3.15,125,46
test/10048.png,108,38,146,101,"[4.0, 2.0]",2,4.35,7.199999999999999,264,130
test/10049.png,93,2,176,78,"[1.0, 10.0, 9.0]",3,9.6,8.85,395,126
test/1005.png,48,-1,97,38,"[1.0, 1.0]",2,5.7,4.6499999999999995,138,54
test/10050.png,178,49,233,111,"[2.0, 2.0]",2,6.3,7.05,359,111
test/10051.png,26,0,68,37,"[5.0, 9.0]",2,4.95,4.35,94,39
test/10052.png,109,7,159,56,"[4.0, 8.0]",2,5.85,5.7,220,84
test/10053.png,27,-2,121,52,"[1.0, 4.0, 2.0]",3,10.95,6.3,149,53
test/10054.png,17,0,47,26,"[7.0, 7.0]",2,3.4499999999999997,3.0,90,26
test/10055.png,39,1,77,41,"[7.0, 2.0]",2,4.35,4.6499999999999995,107,40
test/10056.png,129,39,249,88,"[1.0, 1.0, 10.0]",3,13.95,5.7,325,109
test/10057.png,24,3,50,29,"[7.0, 3.0]",2,3.0,3.0,74,32
test/10058.png,104,66,163,108,"[7.0, 7.0]",2,6.8999999999999995,4.95,267,133
